Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200098,Herbal Teas & Remedies,Joy Luck Oolong Tea,8.39,,,,,8.39,8.39
,200099,Herbal Teas & Remedies,Vita-kidney Natural Herbs Tea,15.74,,,,,15.74,15.74
,200100,Herbal Teas & Remedies,Vita-blood Pressure Herbs Tea,15.74,,,,,15.74,15.74
,200101,Herbal Teas & Remedies,Vita-prostate Natural Herbs Tea,15.74,,,,,15.74,15.74
,200102,Herbal Teas & Remedies,Vita-rejuve Natural Herb Tea,15.74,,,,,15.74,15.74
,200103,Herbal Teas & Remedies,Tibetan Rhubarb Detox,9.44,,,,,9.44,9.44
,200104,Herbal Teas & Remedies,Mangosteen Tea,3.14,,,,,3.14,3.14
,200105,Herbal Teas & Remedies,Turmeric Tea,2.93,,,,,2.93,2.93
,200106,Herbal Teas & Remedies,Ginger Tea,2.4,,,,,2.4,2.4
,200107,Herbal Teas & Remedies,Bitter Gourd Tea,2.93,,,,,2.93,2.93
,200108,Herbal Teas & Remedies,Noni Tea,2.93,,,,,2.93,2.93
,200109,Herbal Teas & Remedies,Dia Bet Tea,5.24,,,,,5.24,5.24
,200110,Herbal Teas & Remedies,Sugar Balance And Women's Tonic With Dong Quai And Mulberry Tea,5.24,,,,,5.24,5.24
,200111,Herbal Teas & Remedies,Horny Goat Weed Yang Herbal Tea,5.24,,,,,5.24,5.24
,200112,Herbal Teas & Remedies,Roasted Green Tea,3.14,,,,,3.14,3.14
,200113,Herbal Teas & Remedies,Ginkgo Biloba And Red Panax Ginseng Extract,11.54,,,,,11.54,11.54
,200114,Herbal Teas & Remedies,Green Tea,4.19,,,,,4.19,4.19
,200115,Herbal Teas & Remedies,Instant Coffee Mix,4.19,,,,,4.19,4.19
,200116,Herbal Teas & Remedies,Nescafe Cafe Viet Black Iced Coffee,4.71,,,,,4.71,4.71
,200117,Indonesian Spice Mixes,Indonesian Fried Noodle (Mie Goreng),1.35,,,,,1.35,1.35
,200118,Indonesian Spice Mixes,Indonesian Rendang Curry,1.35,,,,,1.35,1.35
,200119,Indonesian Spice Mixes,Kalasan Fried Chicken,1.35,,,,,1.35,1.35
,200120,Indonesian Spice Mixes,Instant Spices For Grilled Chicken In Rujak Sauce,1.35,,,,,1.35,1.35
,200121,Indonesian Spice Mixes,Javanese Curry,1.35,,,,,1.35,1.35
,200122,Indonesian Spice Mixes,Indonesian Gulai Curry Soup,1.35,,,,,1.35,1.35
,200123,Indonesian Spice Mixes,Instant Spices For Liver And Chili Gravy,1.35,,,,,1.35,1.35
,200124,Indonesian Spice Mixes,"Indonesian Instant Spices, Vegetable Stew",1.35,,,,,1.35,1.35
,200125,Indonesian Spice Mixes,"Indonesian Instant Spices, Indonesian Beef Gravy",1.35,,,,,1.35,1.35
,200126,Indonesian Spice Mixes,"Indonesian Instant Spices, Sweet And Sour Vegetable Soup With Tamarind",1.35,,,,,1.35,1.35
,200127,Indonesian Spice Mixes,"Indonesian Instant Spices, Instant Spices For East Java Meat Soup",1.35,,,,,1.35,1.35
,200128,Indonesian Spice Mixes,"Indonesian Instant Spices, Indonesian Fried Chicken",1.35,,,,,1.35,1.35
,200129,Indonesian Spice Mixes,"Indonesian Instant Spices, Indonesian Soto Soup",1.35,,,,,1.35,1.35
