Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200620,Frozen Fish,Cooked Snail Meat,3.14,,,,,3.14,3.14
,200621,Frozen Fish,Salted Bull Head Fish Fillet,10.07,,,,,10.07,10.07
,200622,Frozen Fish,Headless Sand Goby,3.14,,,,,3.14,3.14
,200623,Frozen Fish,Wild Caught Goby Fish,5.76,,,,,5.76,5.76
,200624,Frozen Fish,Dried Bombay Duck Fish,5.13,,,,,5.13,5.13
,200625,Frozen Fish,Boneless Milkfish,6.08,,,,,6.08,6.08
,200626,Frozen Fish,Steamed Mackerel,6.81,,,,,6.81,6.81
,200627,Frozen Fish,Frozen Red Mackerel,6.92,,,,,6.92,6.92
,200628,Frozen Produce,Frozen Lin Mai,2.72,,,,,2.72,2.72
,200629,Frozen Produce,Frozen Margosa,2.61,,,,,2.61,2.61
,200630,Frozen Produce,Frozen Cassave Leaves,2.4,,,,,2.4,2.4
,200631,Frozen Produce,Frozen Fried Silworm,3.45,,,,,3.45,3.45
,200632,Frozen Produce,Frozen Fried Grasshopper With Salt,6.81,,,,,6.81,6.81
,200633,Frozen Produce,Stewing Hen,6.18,,,,,6.18,6.18
,200634,Frozen Produce,Frozne Pandan Leaves,1.88,,,,,1.88,1.88
,200635,Frozen Produce,Frozen Red Chilli,1.56,,,,,1.56,1.56
,200636,Frozen Produce,Lao Olive,2.3,,,,,2.3,2.3
,200637,Frozen Produce,Yanang Leaves,1.77,,,,,1.77,1.77
,200638,Frozen Produce,Cassava,1.67,,,,,1.67,1.67
,200639,Frozen Produce,Grated Cassava,1.67,,,,,1.67,1.67
,200640,Frozen Produce,Grated Coconut,2.72,,,,,2.72,2.72
,200641,Frozen Produce,Frozen Coconut Milk,2.51,,,,,2.51,2.51
,200642,Frozen Produce,Coconut Milk,2.51,,,,,2.51,2.51
,200643,Frozen Produce,Yanang Extract,1.67,,,,,1.67,1.67
,200644,Frozen Produce,Frozen Parkia Speciosa,3.14,,,,,3.14,3.14
,200645,Frozen Produce,Frozen Galanga Whole,1.88,,,,,1.88,1.88
,200646,Frozen Produce,Frozen Chopped Lemon Grass,3.45,,,,,3.45,3.45
,200647,Frozen Produce,Frozen Seedless Durian,11.54,,,,,11.54,11.54
,200648,Frozen Produce,Frozen Cooked Peeled Young Corn,2.09,,,,,2.09,2.09
,200649,Frozen Produce,Shredded Young Coconut,1.98,,,,,1.98,1.98
,200650,Frozen Produce,Galanga,4.19,,,,,4.19,4.19
,200651,Frozen Produce,Frozen Krachai,1.88,,,,,1.88,1.88
,200652,Frozen Produce,KareKare,6.29,,,,,6.29,6.29
,200653,Frozen Produce,Palm Nut,3.56,,,,,3.56,3.56
,200654,Frozen Produce,Fried Tofu,2.51,,,,,2.51,2.51
,200655,Frozen Produce,Candle Nut,2.93,,,,,2.93,2.93
,200656,Frozen Produce,Soybean Cake,3.14,,,,,3.14,3.14
,200657,Frozen Produce,New Zealand Butter (Salted),8.28,,,,,8.28,8.28
,200658,Frozen Produce,Vegetarian Sausage,6.29,,,,,6.29,6.29
,200659,Frozen Produce,Edamame Shelled,2.4,,,,,2.4,2.4
,200660,Frozen Produce,Sour Bamboo Shoot,2.09,,,,,2.09,2.09
,200661,Frozen Produce,Poached Green Bamboo,2.4,,,,,2.4,2.4
,200662,Frozen Produce,Bamboo Shoots,2.72,,,,,2.72,2.72
,200663,Frozen Seafood,Shrimp Balls,5.24,,,,,5.24,5.24
,200664,Frozen Seafood,Dried Squid (whole),13.64,,,,,13.64,13.64
,200665,Frozen Meals,Vegetarian Pia Cake (Mungbean and Durian),4.82,,,,,4.82,4.82
,200666,Frozen Meals,Barbecue Siopao,4.19,,,,,4.19,4.19
,200667,Frozen Meals,Potstickers Veg & Pork,7.34,,,,,7.34,7.34
,200668,Frozen Meals,Potstickers Veg & Chicken,7.34,,,,,7.34,7.34
,200669,Frozen Meals,Pork Meatloaf,5.24,,,,,5.24,5.24
,200670,Frozen Meals,Pork Meat Roll,6.29,,,,,6.29,6.29
,200671,Frozen Meals,Fried Fish Cake,5.24,,,,,5.24,5.24
,200672,Frozen Meals,Wonton Skins,2.09,,,,,2.09,2.09
,200673,Frozen Meals,Wonton Wrappers,3.77,,,,,3.77,3.77
,200674,Frozen Meals,Thin Wonton Wraps,2.61,,,,,2.61,2.61
,200675,Frozen Meals,TYJ Spring Roll Pastry,1.88,,,,,1.88,1.88
,200676,Frozen Meals,Chinese Donuts,4.61,,,,,4.61,4.61
,200677,Frozen Meals,"Shumai, Pork and Shrimp Dumplings",3.98,,,,,3.98,3.98
,200678,Frozen Meals,"Shumai, Shrimp Dumplings",3.98,,,,,3.98,3.98
,200679,Frozen Meals,"Shumai, Chicken Dumplings",3.98,,,,,3.98,3.98
,200680,Frozen Meals,Brown Rice (ready in 1 min),2.09,,,,,2.09,2.09
,200681,Frozen Meals,Egg Roll Skins,3.45,,,,,3.45,3.45
,200682,Frozen Meals,Spring Roll Skins,1.88,,,,,1.88,1.88
,200683,Frozen Meals,Red Kamaboko Fish Cake,4.19,,,,,4.19,4.19
,200684,Frozen Meals,Steam Egg Noodle,2.51,,,,,2.51,2.51
,200685,Frozen Meals,Japanese Ramen,4.71,,,,,4.71,4.71
,200686,Frozen Meals,Fish Tofu,5.55,,,,,5.55,5.55
,200687,Frozen Meals,Spring Roll Shells,1.56,,,,,1.56,1.56
,200688,Frozen Meals,TYJ Spring Roll Pastry (25 pc),1.88,,,,,1.88,1.88
,200689,Frozen Meals,Puff Paratha,2.72,,,,,2.72,2.72
,200690,Frozen Meals,Puff Paratha Onion,2.72,,,,,2.72,2.72
,200691,Frozen Meals,Wonton Noodles,2.61,,,,,2.61,2.61
,200692,Frozen Dessert,Mochi Ice Cream Azuki Red Bean,5.55,,,,,5.55,5.55
,200693,Frozen Dessert,Mochi Ice Cream Silky Chocolate,5.55,,,,,5.55,5.55
,200694,Frozen Dessert,Mochi Ice Cream Matcha Green Tea,5.55,,,,,5.55,5.55
,200695,Frozen Dessert,Mochi Sherbet Juicy Mango,5.55,,,,,5.55,5.55
,200696,Frozen Dessert,Mochi Ice Cream Creamy Strawberry,5.55,,,,,5.55,5.55
,200697,Frozen Dessert,Mochi Ice Cream Classy Vanilla,5.55,,,,,5.55,5.55
,200698,Frozen Dessert,Frozen Banana Cake,3.45,,,,,3.45,3.45
,200699,Frozen Dessert,Toddy Palm Cake,3.03,,,,,3.03,3.03
,200700,Frozen Dessert,Toddy Palm Cake (Pandan Flavor),3.03,,,,,3.03,3.03
,200701,Frozen Dessert,Frozen Sticky Rice with Jackfruit,3.45,,,,,3.45,3.45
,200702,Frozen Dessert,Cheese Cake,6.92,,,,,6.92,6.92
,200703,Frozen Dessert,Frozen Seaweed Bean Curd Slice,5.76,,,,,5.76,5.76
,200704,Frozen Dessert,Frozen Black Sticky Rice Dessert,1.77,,,,,1.77,1.77
,200705,Donate,$1 Donation,1,,,,,1,1
,200706,Donate,$5 Donation,5,,,,,5,5
,200707,Donate,$10 Donation,10,,,,,10,10
,200708,Donate,$20 Donation,20,,,,,20,20
,200709,Donate,$50 Donation,50,,,,,50,50
,200710,Donate,$100 Donation,100,,,,,100,100
